Designator,Footprint,Quantity,Value,LCSC Part #
BT1,3000,1,3000,
C1,0805,1,22u,
"C10, C11, C13, C14, C15, C16, C21, C4, C5",0805,9,0.1u,
C12,0805,1,1u,
"C17, C18",0805,2,0.1uf,
C19,1206,1,4.7uF,
C2,1206,1,4.7u,
"C20, C22",0201,2,0.1u,
C23,0201,1,0.12u,
C24,0805,1,1,
C3,0805,1,10uf,
C7,1206,1,22u,
C9,0805,1,10u,
D1,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
"D2, D6",POWERDI123,2,DFLS240-7,
"D3, D4, D5",0805,3,LED,
IC1,SOP65P490X110-9N,1,LT3663EMS8E-3.3#PBF,
IC2,SOT229P700X180-4N,1,AMS1117-3.3,
IC3,BMP390,1,BMP390,
J1,AMASS_XT60PW-F,1,XT60PW-F,
"J2, J3",518144002,2,5-1814400-2,
J4,GCT_USB4085-GF-A_REVB,1,USB4085-GF-A_REVB,
"J5, J6, J7",2828362,3,Screw_Terminal_01x02,
"JP10, JP6, JP7, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,4,Jumper_2_Small_Open,
JP12,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
L1,VLCF5020,1,4.7u,
LS1,CMT8504100SMTTR,1,CMT-8504-100-SMT-TR,
"Q1, Q2, Q3, Q4",SOT-23,4,BSS138,
R1,0805,1,0,
"R10, R4, R9",0805,3,110,
"R11, R7, R8",0805,3,10k,
"R12, R14, R16, R21, R22, R23, R38",0805,7,1k,
"R13, R15, R17, R18, R19, R20, R3, R35, R36, R37",0805,10,100k,
R2,0805,1,316k,
"R24, R26, R28",0805,3,5.6k,
"R25, R27, R29",0805,3,2k,
"R30, R31",0402,2,5.1k,
R34,2512,1,5.6ohm 12w,
"R5, R6",0805,2,4k7,
RILIM1,0805,1,28.7k,
SW1,MN11LL1W01-C,1,SW_SPST,
"SW2, SW3, SW4",ET02MD1CBE,3,SW_SPST,
U10,LGA-14L_2P5X3X0P83_STM,1,LSM6DSO32TR,
U11,LGA-28_5.2x3.8mm_P0.5mm,1,BNO055,
U2,SSOP-24_5.3x8.2mm_P0.65mm,1,PCF8575DBR,
U3,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U4,MODULE_RFM96W-433S2,1,RFM96W-433S2,
U5,XCVR_MAX-M10S-00B,1,MAX-M10S-00B,
U6,SOT-23-6,1,USBLC6-2SC6,
"U7, U8, U9",SOT65P210X110-3N,3,DMP2160UW-7,
